ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,StatsData
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",YCL,Cycleptus elongatus,Blue sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",DEU,Deltistes luxatus,Lost River sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATC,Catostomus catostomus,Longnose sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATO,Catostomus commersoni,White sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATS,Catostomus latipinnis,Flannelmouth sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATU,Catostomus macrocheilus,Largescale sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATE,Catostomus tahoensis,Tahoe sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",MOG,Moxostoma congestum,Gray redhorse,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",MOE,Moxostoma erythrurum,Golden redhorse,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",MOM,Moxostoma macrolepidotum,Shorthead redhorse,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",LAL,Lagochila lacera,Harelip sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",BUB,Ictiobus cyprinellus,Bigmouth buffalo,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",BUF,Ictiobus spp,Buffalofishes nei,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",MXS,Myxocyprinus asiaticus,Chinese sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",CDO,Carpiodes carpio,River carpsucker,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",XYT,Xyrauchen texanus,Razorback sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATJ,Chasmistes cujus,Cui-ui,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",MIM,Minytrema melanops,Spotted sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ERU,Erimyzon sucetta,Lake chubsucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",HYN,Hypentelium nigricans,Northern hog sucker,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",CTM,Catostomidae,Suckers nei,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FBM,Abramis brama,Freshwater bream,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FBR,Abramis spp,Freshwater breams nei,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FCP,Cyprinus carpio,Common carp,1,Freshwater fish,1,Carp,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FPR,Cyprinus pellegrini,Barbless carp,1,Freshwater fish,1,Carp,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",AAX,Aaptosyax grypus,NA,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ABB,Abbottina rivularis,Chinese false gudgeon,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",AHL,Acanthalburnus microlepis,Blackbrow bleak,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FTE,Tinca tinca,Tench,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ATA,Acapoeta tanganicae,NA,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ALR,Alburnus alburnus,Bleak,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",ABD,Alburnus albidus,NA,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",PTB,Barbus barbus,Barbel,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",BUD,Barbus meridionalis,Mediterranean barbel,1,Freshwater fish,8,Other freshwater fish,YES
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",BBQ,Barbus canis,NA,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",BBN,Barbus aeneus,Smallmouth yellowfish,1,Freshwater fish,8,Other freshwater fish,NO
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",BBJ,Barbus capensis,Clanwilliam yellowfish,1,Freshwater fish,8,Other freshwater fish,NO
