ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
3,Marine fishes,34,Miscellaneous demersal fishes,REN,Sebastes fasciatus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
5,Molluscs,57,"Squids, cuttlefishes, octopuses",EJB,Sepia bertheloti,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OUK,Alloteuthis africana,9,Cephalopods,75,Squid,Meat edible fraction,67
4,Crustaceans,45,"Shrimps, prawns",AKS,Acetes japonicus,8,Crustaceans,71,"Shrimp, miscellaneous",Meat edible fraction,100
3,Marine fishes,32,"Cods, hakes, haddocks",ALK,Gadus chalcogrammus,3,Groundfish,87,Alaska pollock,Flesh edible fraction,41
3,Marine fishes,36,"Tunas, bonitos, billfishes",ALB,Thunnus alalunga,6,Tuna and tuna-like species,41,"Tuna, albacore",Flesh edible fraction,58
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OUW,Alloteuthis spp,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,37,Miscellaneous pelagic fishes,AMX,Seriola spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,53
3,Marine fishes,31,"Flounders, halibuts, soles",PLA,Hippoglossoides platessoides,4,Flatfish,30,"Plaice, other",Flesh edible fraction,49
5,Molluscs,53,Oysters,OYA,Crassostrea virginica,10,Bivalves and other molluscs and aquatic invertebrates,79,Oyster,Meat edible fraction,10
5,Molluscs,55,"Scallops, pectens",SCA,Placopecten magellanicus,10,Bivalves and other molluscs and aquatic invertebrates,78,Scallop,Meat edible fraction,10.5
5,Molluscs,56,"Clams, cockles, arkshells",BLS,Anadara spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,35,"Herrings, sardines, anchovies",VET,Engraulis ringens,5,Small pelagics,34,Anchovy,Flesh edible fraction,62
3,Marine fishes,35,"Herrings, sardines, anchovies",ENR,Engraulis spp,5,Small pelagics,34,Anchovy,Flesh edible fraction,62
3,Marine fishes,33,Miscellaneous coastal fishes,DEA,Dentex angolensis,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQG,Todarodes angolensis,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",TFP,Todarodes filippovae,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",PRD,Pareledone spp,9,Cephalopods,74,Octopus,Meat edible fraction,79
3,Marine fishes,32,"Cods, hakes, haddocks",HKP,Merluccius hubbsi,3,Groundfish,16,Hake,Flesh edible fraction,53
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQA,Illex argentinus,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",ARK,Arca spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,51,Freshwater molluscs,CMA,Corbicula fluminea,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
