"Robinson et al 2022, available from: https://github.com/jpwrobinson/UKSeafood/blob/main/data/UK_GHG_nutrient_catch.csv",,,,,,,,,,,,,,,,,,,,Manually matched to:,,
species,common_name,scientific_name,farmed_wild,nutrient_source,group,selenium,zinc,omega_3,calcium,iron,vitamin_a,ca_rda,fe_rda,se_rda,zn_rda,om_rda,nut_adq,portion_adq,nut_score,ERSCode,MCS_code,MCS_descr
Salmon,Atlantic salmon,Salmo salar,Farmed,Species-level,"Salmons, trouts, smelts",18.56684744,0.253615201,1.199061634,11.33047589,0.379451918,11.9074505,1.133047589,1.290652781,71.41095171,5.175820423,100,35.8020945,111.725307,179.0104725,SAL,9,Salmon
Mackerel,Atlantic mackerel,Scomber scombrus,Wild,Species-level,Miscellaneous pelagic fishes,51.95536808,0.694573758,0.760918991,20.10148527,0.704570517,16.81810264,2.010148527,2.396498359,100,14.17497465,69.17445375,37.55121506,106.521187,187.7560753,MAC,38,Mackerel
Cod,Atlantic cod,Gadus morhua,Wild,Species-level,"Cods, hakes, haddocks",15.44717801,0.422098776,0.533315366,9.579675117,0.124969796,10.65936332,0.957967512,0.425067333,59.41222311,8.61426074,48.48321509,23.57854676,169.6457395,117.8927338,COD,13,Cod
"Tuna, skipjack",Skipjack tuna,Katsuwonus pelamis,Wild,Species-level,"Tunas, bonitos, billfishes",87.39649576,1.540619588,0.449731036,155.2889152,2.267505658,6.635559235,15.52889152,7.712604278,100,31.44121609,40.8846396,39.1134703,102.2665585,195.5673515,SKJ,44,"Tuna, skipjack"
Haddock,Haddock,Melanogrammus aeglefinus,Wild,Species-level,"Cods, hakes, haddocks",32.88016692,0.308687628,0.616929001,10.18140899,0.175196758,7.920938296,1.018140899,0.595907341,100,6.299747508,56.08445463,32.79965008,121.9525206,163.9982504,HAD,15,Haddock
Herring,Atlantic herring,Clupea harengus,Wild,Species-level,"Herrings, sardines, anchovies",16.47946925,1.028568358,0.914504005,75.36142584,0.372178257,29.06716422,7.536142584,1.265912439,63.38257404,20.99119097,83.13672775,35.26250956,113.4349214,176.3125478,HER,36,Herring
"Shrimp, miscellaneous","Shrimp, miscellaneous","Shrimp, miscellaneous",Farmed, ,"Shrimps, prawns",48.3,1.788333333,0.28546832,109.4285714,1.59,2,10.94285714,5.408163265,100,36.49659864,25.9516655,35.75985691,111.8572709,178.7992845,,71,"Shrimp, miscellaneous"
"Shrimp, miscellaneous","Shrimp, miscellaneous","Shrimp, miscellaneous",Wild, ,"Shrimps, prawns",39.76307389,1.606380327,0.262168961,106.938299,1.223283333,2,10.6938299,4.160827663,100,32.78327198,23.83354193,34.2942943,116.8508794,171.4714715,,71,"Shrimp, miscellaneous"
"Shrimp, warmwater","Shrimp, warmwater","Shrimp, warmwater",Farmed, ,"Shrimps, prawns",48.3,1.788333333,0.28546832,109.4285714,1.59,0,10.94285714,5.408163265,100,36.49659864,25.9516655,35.75985691,111.8572709,178.7992845,,70,"Shrimp, warmwater"
"Shrimp, warmwater","Shrimp, warmwater","Shrimp, warmwater",Farmed, ,"Shrimps, prawns",48.3,1.788333333,0.28546832,109.4285714,1.59,0,10.94285714,5.408163265,100,36.49659864,25.9516655,35.75985691,111.8572709,178.7992845,,70,"Shrimp, warmwater"
"Shrimp, warmwater","Shrimp, warmwater","Shrimp, warmwater",Wild, ,"Shrimps, prawns",38.05568867,1.569989726,0.257509089,106.4402445,1.149939999,0,10.64402445,3.911360542,100,32.04060665,23.40991722,34.00118177,117.8496011,170.0059089,,70,"Shrimp, warmwater"
