ERSCode,CG_code,CG_descr,MCS_code,MCS_descr,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ScientificName,EnglishName,ProducedInScotland2021
YCL,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Cycleptus elongatus,Blue sucker,FALSE
DEU,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Deltistes luxatus,Lost River sucker,FALSE
ATC,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Catostomus catostomus,Longnose sucker,FALSE
ATO,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Catostomus commersoni,White sucker,FALSE
ATS,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Catostomus latipinnis,Flannelmouth sucker,FALSE
ATU,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Catostomus macrocheilus,Largescale sucker,FALSE
ATE,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Catostomus tahoensis,Tahoe sucker,FALSE
MOG,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Moxostoma congestum,Gray redhorse,FALSE
MOE,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Moxostoma erythrurum,Golden redhorse,FALSE
MOM,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Moxostoma macrolepidotum,Shorthead redhorse,FALSE
LAL,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Lagochila lacera,Harelip sucker,FALSE
BUB,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Ictiobus cyprinellus,Bigmouth buffalo,FALSE
BUF,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Ictiobus spp,Buffalofishes nei,FALSE
MXS,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Myxocyprinus asiaticus,Chinese sucker,FALSE
CDO,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Carpiodes carpio,River carpsucker,FALSE
XYT,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Xyrauchen texanus,Razorback sucker,FALSE
ATJ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Chasmistes cujus,Cui-ui,FALSE
MIM,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Minytrema melanops,Spotted sucker,FALSE
ERU,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Erimyzon sucetta,Lake chubsucker,FALSE
HYN,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Hypentelium nigricans,Northern hog sucker,FALSE
CTM,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Catostomidae,Suckers nei,FALSE
FBM,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Abramis brama,Freshwater bream,FALSE
FBR,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Abramis spp,Freshwater breams nei,FALSE
FCP,1,Freshwater fish,1,Carp,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Cyprinus carpio,Common carp,FALSE
FPR,1,Freshwater fish,1,Carp,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Cyprinus pellegrini,Barbless carp,FALSE
AAX,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Aaptosyax grypus,NA,FALSE
ABB,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Abbottina rivularis,Chinese false gudgeon,FALSE
AHL,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Acanthalburnus microlepis,Blackbrow bleak,FALSE
FTE,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Tinca tinca,Tench,FALSE
ATA,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Acapoeta tanganicae,NA,FALSE
ALR,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Alburnus alburnus,Bleak,FALSE
ABD,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Alburnus albidus,NA,FALSE
PTB,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus barbus,Barbel,FALSE
BUD,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus meridionalis,Mediterranean barbel,FALSE
BBQ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus canis,NA,FALSE
BBN,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus aeneus,Smallmouth yellowfish,FALSE
BBJ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus capensis,Clanwilliam yellowfish,FALSE
BUH,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus haasi,NA,FALSE
BUO,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus holotaenia,Spotscale barb,FALSE
BUJ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus johnstonii,NA,FALSE
BUI,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus macrotaenia,Broadband barb,FALSE
BUY,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus neumayeri,NA,FALSE
BUN,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus longiceps,NA,FALSE
BSJ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus plebejus,NA,FALSE
BBU,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus altianalis,Ripon barbel,FALSE
BBI,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus altidorsalis,NA,FALSE
BBK,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus callensis,Algerian barb,FALSE
BUE,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus eurystomus,NA,FALSE
BUL,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus lineomaculatus,Line-spotted barb,FALSE
BSN,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus unitaeniatus,Slender barb,FALSE
BUU,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus paludinosus,Straightfin barb,FALSE
BSI,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus perince,NA,FALSE
BSM,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus mattozi,Papermouth,FALSE
BUQ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus marequensis,Largescale yellowfish,FALSE
BST,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus trimaculatus,Threespot barb,FALSE
BSO,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus tropidolepis,NA,FALSE
BBZ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Barbus cyclolepis,NA,FALSE
HON,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Chondrostoma nasus,Common nase,FALSE
HOX,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Chondrostoma toxostoma,NA,FALSE
HOY,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Chondrostoma polylepis,Iberian nase,FALSE
HOS,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Chondrostoma soetta,NA,FALSE
HOG,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Chondrostoma genei,NA,FALSE
AGE,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Agosia chrysogaster,Longfin dace,FALSE
FCC,1,Freshwater fish,1,Carp,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Carassius carassius,Crucian carp,FALSE
CGO,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Carassius auratus,Goldfish,FALSE
IUV,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Carassius cuvieri,Japanese white crucian carp,FALSE
CWG,1,Freshwater fish,1,Carp,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Carassius gibelio,Prussian carp,FALSE
WDX,1,Freshwater fish,1,Carp,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Carassius spp,NA,FALSE
GOG,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Gobio gobio,Gudgeon,FALSE
GOP,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Gobio albipinnatus,White-finned gudgeon,FALSE
FRO,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus rutilus,Roach,FALSE
RFR,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus frisii,Kutum,FALSE
RTR,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus rubilio,NA,FALSE
RLA,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus alburnoides,NA,FALSE
RFZ,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus lemmingii,NA,FALSE
RWC,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus caspicus,Caspian roach,FALSE
FRX,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Rutilus spp,Roaches nei,FALSE
SRE,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Scardinius erythrophthalmus,Rudd,FALSE
FID,1,Freshwater fish,8,Other freshwater fish,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",Leuciscus idus,Orfe(=Ide),FALSE
