nutrient,has_micronutrient_data,source,Approximated,Count
biotin_µg_per_100g,FALSE,NA,NA,12037
biotin_µg_per_100g,TRUE,CoFID (2021),FALSE,20
biotin_µg_per_100g,TRUE,CoFID (2021),TRUE,970
biotin_µg_per_100g,TRUE,Robinson et al (2022),FALSE,12
biotin_µg_per_100g,TRUE,Robinson et al (2022),TRUE,176
calcium_mg_per_100g,FALSE,NA,NA,12037
calcium_mg_per_100g,TRUE,CoFID (2021),FALSE,20
calcium_mg_per_100g,TRUE,CoFID (2021),TRUE,970
calcium_mg_per_100g,TRUE,Robinson et al (2022),FALSE,12
calcium_mg_per_100g,TRUE,Robinson et al (2022),TRUE,176
carotene_µg_per_100g,FALSE,NA,NA,12037
carotene_µg_per_100g,TRUE,CoFID (2021),FALSE,20
carotene_µg_per_100g,TRUE,CoFID (2021),TRUE,970
carotene_µg_per_100g,TRUE,Robinson et al (2022),FALSE,12
carotene_µg_per_100g,TRUE,Robinson et al (2022),TRUE,176
chloride_mg_per_100g,FALSE,NA,NA,12037
chloride_mg_per_100g,TRUE,CoFID (2021),FALSE,20
chloride_mg_per_100g,TRUE,CoFID (2021),TRUE,970
chloride_mg_per_100g,TRUE,Robinson et al (2022),FALSE,12
chloride_mg_per_100g,TRUE,Robinson et al (2022),TRUE,176
copper_mg_per_100g,FALSE,NA,NA,12037
copper_mg_per_100g,TRUE,CoFID (2021),FALSE,20
copper_mg_per_100g,TRUE,CoFID (2021),TRUE,970
copper_mg_per_100g,TRUE,Robinson et al (2022),FALSE,12
copper_mg_per_100g,TRUE,Robinson et al (2022),TRUE,176
fat_g_per_100g,FALSE,NA,NA,12037
fat_g_per_100g,TRUE,CoFID (2021),FALSE,20
fat_g_per_100g,TRUE,CoFID (2021),TRUE,970
fat_g_per_100g,TRUE,Robinson et al (2022),FALSE,12
fat_g_per_100g,TRUE,Robinson et al (2022),TRUE,176
folate_µg_per_100g,FALSE,NA,NA,12037
folate_µg_per_100g,TRUE,CoFID (2021),FALSE,20
folate_µg_per_100g,TRUE,CoFID (2021),TRUE,970
folate_µg_per_100g,TRUE,Robinson et al (2022),FALSE,12
folate_µg_per_100g,TRUE,Robinson et al (2022),TRUE,176
iodine_µg_per_100g,FALSE,NA,NA,12037
